PlateId,23-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK-001 to TK-024,, , ,A2, , , ,A3, , , ,A4, , , ,A5, , , ,A6, , , ,A7, , , ,A8, , , ,B1, , , ,B2, , , ,B3, , , ,B4, , , ,B5, , , ,B6, , , ,B7, , , ,B8, , , ,C1, , , ,C2, , , ,C3, , , ,C4, , , ,C5, , , ,C6, , , ,C7, , , ,C8, , , 
TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance,TimeStamp,Intensity,Dispensation TimeStamp,Substance
8656,217.86,64273,E,8656,212.663,100820,E,8656,215.876,68273,E,8656,216.508,104820,E,8656,214.57,69273,E,8656,217.026,105828,E,8656,213.086,73273,E,8656,214.343,109777,E,8656,212.695,101601,E,8656,216.416,65054,E,8656,216.991,104054,E,8656,217.281,67546,E,8656,214.495,106547,E,8656,213.287,70003,E,8656,212.886,109003,E,8656,217.646,72492,E,8656,217.059,65765,E,8656,211.433,102327,E,8656,217.278,66765,E,8656,216.647,103328,E,8656,213.668,70773,E,8656,215.745,107328,E,8656,216.708,71765,E,8656,219.115,108328,E
9656,217.686,129328,S,9656,212.659,165929,S,9656,215.935,133382,S,9656,216.832,169929,S,9656,214.466,134382,S,9656,217.038,170937,S,9656,212.979,138328,S,9656,214.475,174820,S,9656,212.751,166656,S,9656,216.449,130109,S,9656,217.051,169164,S,9656,217.405,132601,S,9656,214.562,171601,S,9656,213.257,135109,S,9656,212.917,174109,S,9656,217.567,137547,S,9656,217.077,130820,S,9656,211.631,167382,S,9656,217.32,131828,S,9656,216.795,168437,S,9656,213.668,135874,S,9656,215.798,172328,S,9656,216.871,136828,S,9656,219.102,173328,S
10602,217.853,198328,A,10602,212.558,234656,A,10602,216.011,202109,A,10602,216.71,238601,A,10602,214.712,203109,A,10602,216.929,239601,A,10602,213.066,207054,A,10602,214.33,243273,A,10602,212.678,235382,A,10602,216.467,198984,A,10602,216.963,237875,A,10602,217.355,201328,A,10602,214.476,240273,A,10602,213.23,203820,A,10602,212.954,242547,A,10602,217.56,206273,A,10602,217.137,199609,A,10602,211.533,236054,A,10602,217.31,200601,A,10602,216.77,237164,A,10602,213.633,204601,A,10602,215.842,240984,A,10602,216.829,205546,A,10602,219.081,241882,A
11656,217.921,263382,A,11656,212.574,299710,A,11656,215.913,267164,A,11656,216.689,303609,A,11656,214.531,268163,A,11656,217.042,304656,A,11656,213.026,272109,A,11656,214.406,308492,A,11656,212.585,300382,A,11656,216.403,264109,A,11656,217.003,302875,A,11656,217.414,266383,A,11656,214.569,305327,A,11656,213.226,268875,A,11656,212.929,307765,A,11656,217.725,271328,A,11656,217.026,264765,A,11656,211.468,301109,A,11656,217.329,265710,A,11656,216.696,302218,A,11656,213.663,269664,A,11656,215.925,306054,A,11656,216.845,270601,A,11656,219.084,307055,A
12656,217.845,328437,C,12656,212.629,364765,C,12656,215.889,332218,C,12656,216.792,368609,C,12656,214.761,333218,C,12656,217.029,369711,C,12656,213.065,337163,C,12656,214.502,373437,C,12656,212.595,365492,C,12656,216.371,329164,C,12656,216.995,367984,C,12656,217.412,331437,C,12656,214.483,370437,C,12656,213.251,333930,C,12656,213.005,372664,C,12656,217.539,336382,C,12656,216.979,329874,C,12656,211.373,366164,C,12656,217.313,330773,C,12656,216.768,367273,C,12656,213.648,334719,C,12656,215.868,371109,C,12656,216.8,335711,C,12656,219.097,372003,C
13656,217.813,393492,A,13656,212.569,429820,A,13656,215.96,397273,A,13656,216.957,433664,A,13656,214.627,398273,A,13656,217.05,434765,A,13656,213.092,402218,A,13656,214.445,438492,A,13656,212.579,430547,A,13656,216.472,394218,A,13656,217.044,433003,A,13656,217.384,396601,A,13656,214.592,435437,A,13656,213.329,398984,A,13656,212.955,437765,A,13656,217.634,401437,A,13656,216.995,394929,A,13656,211.433,431218,A,13656,217.31,395882,A,13656,216.733,432328,A,13656,213.639,399773,A,13656,215.868,436171,A,13656,216.717,400765,A,13656,219.201,437109,A
14656,217.816,458547,C,14656,212.605,494874,C,14656,216.03,462327,C,14656,216.822,498765,C,14656,214.814,463328,C,14656,217.09,499820,C,14656,213.108,467273,C,14656,214.458,503547,C,14656,212.552,495601,C,14656,216.362,459273,C,14656,217.067,498054,C,14656,217.374,461656,C,14656,214.558,500492,C,14656,213.324,464003,C,14656,213.015,502820,C,14656,217.546,466492,C,14656,217.044,459984,C,14656,211.447,496273,C,14656,217.345,460937,C,14656,216.754,497382,C,14656,213.69,464827,C,14656,215.854,501219,C,14656,216.706,465820,C,14656,219.08,502164,C
15656,217.812,523601,G,15656,212.654,559930,G,15656,215.919,527382,G,15656,216.879,563875,G,15656,214.666,528382,G,15656,217.021,564882,G,15656,213.097,532328,G,15656,214.404,568554,G,15656,212.548,560601,G,15656,216.434,524328,G,15656,216.988,563164,G,15656,217.282,526713,G,15656,214.555,565547,G,15656,213.242,529055,G,15656,212.961,567875,G,15656,217.545,531554,G,15656,216.923,525005,G,15656,211.444,561273,G,15656,217.468,526000,G,15656,216.785,562437,G,15656,213.716,529875,G,15656,215.809,566273,G,15656,216.742,530875,G,15656,219.051,567218,G
16656,217.975,588656,C,16656,212.575,625054,C,16656,215.928,592492,C,16656,216.91,628874,C,16656,214.868,593437,C,16656,216.989,629937,C,16656,213.035,597383,C,16656,214.425,633554,C,16656,212.612,625765,C,16656,216.357,589382,C,16656,216.906,628164,C,16656,217.476,591824,C,16656,214.61,630601,C,16656,213.302,594109,C,16656,213.003,632929,C,16656,217.553,596601,C,16656,216.865,590054,C,16656,211.42,626437,C,16656,217.329,591054,C,16656,216.734,627492,C,16656,213.632,594929,C,16656,215.801,631273,C,16656,216.721,595937,C,16656,219.094,632219,C
17656,217.897,653711,G,17656,212.619,690117,G,17656,215.902,657601,G,17656,216.982,693929,G,17656,214.738,658546,G,17656,216.987,694992,G,17656,213.129,662437,G,17656,214.495,698609,G,17656,212.667,690773,G,17656,216.417,654437,G,17656,217.035,693218,G,17656,217.408,656875,G,17656,214.599,695656,G,17656,213.347,659218,G,17656,212.969,697984,G,17656,217.505,661656,G,17656,216.913,655164,G,17656,211.457,691492,G,17656,217.426,656109,G,17656,216.701,692546,G,17656,213.719,659984,G,17656,215.938,696328,G,17656,216.796,660992,G,17656,219.065,697273,G
