 0, 4559,Human
 1, 3781,Cow
 2, 2381,SLO Creek Water
 3,  868,Pennington Creek Water
 4,  639,Pigeon
 5,  401,Ground Squirrel
 6,  355,Dog
 7,  280,Human UTI
 8,  216,Sheep
 9,  135,Cat
10,  133,Horse
11,   97,Pacific Ocean Water
12,   92,Seagull
13,   85,Wild Turkey
14,   82,Chicken
15,   75,Bat
16,   71,Pig
17,   66,Hu and Dg
18,   62,Hu
19,   61,Cw
20,   60,Cw and Dg
21,   60,Dg
22,   60,Hu Cw and Dg
23,   60,Hu and Cw
24,   57,Cliff Sparrow
25,   52,Pig/Swine
26,   44,Deer
27,   30,White Crowned Sparrow
28,   29,Wild Pig
29,   22,unknown
30,   12,Opossum
31,   11,Great Horned Owl
32,   10,Ocean Water
33,    6,Common Loon
34,    6,Red Tailed Hawk
35,    6,Sea Lion
36,    6,Racoon
37,    6,Turkey Vulture
38,    5,Red-Winged Blackbird
39,    4,Eared Grebe
40,    4,Freshwater Lagoon
41,    4,Deer Mouse
42,    4,Western Kingbird
43,    4,Unknown Avian
44,    4,Red Wind Blackbird
45,    4,Tree Swallow
46,    3,orangutan
47,    3,cougar
48,    2,Klebsiella
49,    2,Surf Scoter
50,    2,Clark Grebe
51,    2,Guinni
52,    2,Barn Owl
