k,alpha,species,applied-region,Successes,Failures,NonDecisions,Total,DecisionAccuracy,OverallAccuracy
1 , 0.000 , OVERALL , 16-23 , 4550 , 903 , 0 , 5453 , 0.834 , 0.834
1 , 0.000 , OVERALL , 23-5 , 5319 , 853 , 0 , 6172 , 0.862 , 0.862
1 , 0.500 , OVERALL , 16-23 , 4550 , 903 , 0 , 5453 , 0.834 , 0.834
1 , 0.500 , OVERALL , 23-5 , 5318 , 851 , 3 , 6172 , 0.862 , 0.862
1 , 0.900 , OVERALL , 16-23 , 4548 , 901 , 4 , 5453 , 0.835 , 0.834
1 , 0.900 , OVERALL , 23-5 , 5317 , 844 , 11 , 6172 , 0.863 , 0.861
1 , 0.950 , OVERALL , 16-23 , 4546 , 899 , 8 , 5453 , 0.835 , 0.834
1 , 0.950 , OVERALL , 23-5 , 5313 , 837 , 22 , 6172 , 0.864 , 0.861
1 , 0.960 , OVERALL , 16-23 , 4544 , 899 , 10 , 5453 , 0.835 , 0.833
1 , 0.960 , OVERALL , 23-5 , 5312 , 831 , 29 , 6172 , 0.865 , 0.861
1 , 0.970 , OVERALL , 16-23 , 4536 , 893 , 24 , 5453 , 0.836 , 0.832
1 , 0.970 , OVERALL , 23-5 , 5305 , 823 , 44 , 6172 , 0.866 , 0.860
1 , 0.980 , OVERALL , 16-23 , 4519 , 875 , 59 , 5453 , 0.838 , 0.829
1 , 0.980 , OVERALL , 23-5 , 5283 , 809 , 80 , 6172 , 0.867 , 0.856
1 , 0.990 , OVERALL , 16-23 , 4423 , 822 , 208 , 5453 , 0.843 , 0.811
1 , 0.990 , OVERALL , 23-5 , 5230 , 764 , 178 , 6172 , 0.873 , 0.847
1 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
1 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
2 , 0.000 , OVERALL , 16-23 , 4346 , 1107 , 0 , 5453 , 0.797 , 0.797
2 , 0.000 , OVERALL , 23-5 , 5097 , 1075 , 0 , 6172 , 0.826 , 0.826
2 , 0.500 , OVERALL , 16-23 , 4346 , 1107 , 0 , 5453 , 0.797 , 0.797
