1,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	1,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
2,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	2,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
3,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	3,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
4,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	4,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
5,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	5,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
6,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	6,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
7,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	7,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
8,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	8,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
9,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	9,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
10,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	10,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
11,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	11,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
12,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	12,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
13,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	13,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
14,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	14,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
15,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	15,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
16,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	16,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
17,1.000,Dog,16-23,0,0,0,0,NaN,NaN,	17,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
