k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision-Made Relevance,Overall Relevance,
1,0.000,Chicken,16-23,22,29,0,51,0.431,0.431,
1,0.000,Chicken,23-5,28,11,0,39,0.718,0.718,
1,0.000,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.000,Sea Lion,23-5,4,3,0,7,0.571,0.571,
1,0.000,Hu and Cw,16-23,15,26,0,41,0.366,0.366,
1,0.000,Hu and Cw,23-5,15,33,0,48,0.313,0.313,
1,0.000,Sheep,16-23,78,64,0,142,0.549,0.549,
1,0.000,Sheep,23-5,78,32,0,110,0.709,0.709,
1,0.000,Hu and Dg,16-23,16,24,0,40,0.400,0.400,
1,0.000,Hu and Dg,23-5,20,15,0,35,0.571,0.571,
1,0.000,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.000,Common Loon,23-5,0,4,0,4,0.000,0.000,
1,0.000,Red-Winged Blackbird,16-23,2,5,0,7,0.286,0.286,
1,0.000,Red-Winged Blackbird,23-5,2,4,0,6,0.333,0.333,
1,0.000,Cw,16-23,17,25,0,42,0.405,0.405,
1,0.000,Cw,23-5,31,55,0,86,0.360,0.360,
1,0.000,Cliff Sparrow,16-23,16,29,0,45,0.356,0.356,
1,0.000,Cliff Sparrow,23-5,10,34,0,44,0.227,0.227,
1,0.000,Pig,16-23,23,16,0,39,0.590,0.590,
1,0.000,Pig,23-5,20,18,0,38,0.526,0.526,
1,0.000,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.000,Barn Owl,23-5,2,6,0,8,0.250,0.250,
1,0.000,Wild Pig,16-23,5,8,0,13,0.385,0.385,
1,0.000,Wild Pig,23-5,7,6,0,13,0.538,0.538,
1,0.000,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN,
1,0.000,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.000,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.000,Racoon,16-23,2,3,0,5,0.400,0.400,
1,0.000,Racoon,23-5,0,4,0,4,0.000,0.000,
1,0.000,Hu,16-23,27,9,0,36,0.750,0.750,
1,0.000,Hu,23-5,25,13,0,38,0.658,0.658,
1,0.000,Cw and Dg,16-23,15,21,0,36,0.417,0.417,
1,0.000,Cw and Dg,23-5,19,29,0,48,0.396,0.396,
1,0.000,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN,
1,0.000,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000,
1,0.000,Tree Swallow,16-23,2,6,0,8,0.250,0.250,
1,0.000,Tree Swallow,23-5,2,1,0,3,0.667,0.667,
1,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.000,Turkey Vulture,23-5,0,2,0,2,0.000,0.000,
1,0.000,Dg,16-23,11,16,0,27,0.407,0.407,
1,0.000,Dg,23-5,27,10,0,37,0.730,0.730,
1,0.000,Western Kingbird,16-23,0,3,0,3,0.000,0.000,
1,0.000,Western Kingbird,23-5,0,0,0,0,NaN,NaN,
1,0.000,White Crowned Sparrow,16-23,13,5,0,18,0.722,0.722,
1,0.000,White Crowned Sparrow,23-5,8,16,0,24,0.333,0.333,
1,0.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.000,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.000,cougar,23-5,0,0,0,0,NaN,NaN,
1,0.000,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,Ocean Water,23-5,0,0,0,0,NaN,NaN,
1,0.000,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.000,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000,
1,0.000,Dog,16-23,97,72,0,169,0.574,0.574,
1,0.000,Dog,23-5,156,133,0,289,0.540,0.540,
1,0.000,Human,16-23,1727,366,0,2093,0.825,0.825,
1,0.000,Human,23-5,2171,273,0,2444,0.888,0.888,
1,0.000,Wild Turkey,16-23,18,56,0,74,0.243,0.243,
