k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision-Made Relevance,Overall Relevance,
1,0.000,Chicken,16-23,22,18,0,40,0.550,0.550,
1,0.000,Chicken,23-5,28,14,0,42,0.667,0.667,
1,0.000,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.000,Sea Lion,23-5,4,0,0,4,1.000,1.000,
1,0.000,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
1,0.000,Hu and Cw,23-5,14,16,0,30,0.467,0.467,
1,0.000,Sheep,16-23,78,26,0,104,0.750,0.750,
1,0.000,Sheep,23-5,78,20,0,98,0.796,0.796,
1,0.000,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
1,0.000,Hu and Dg,23-5,20,10,0,30,0.667,0.667,
1,0.000,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.000,Common Loon,23-5,0,2,0,2,0.000,0.000,
1,0.000,Red-Winged Blackbird,16-23,2,0,0,2,1.000,1.000,
1,0.000,Red-Winged Blackbird,23-5,2,0,0,2,1.000,1.000,
1,0.000,Cw,16-23,17,13,0,30,0.567,0.567,
1,0.000,Cw,23-5,20,10,0,30,0.667,0.667,
1,0.000,Cliff Sparrow,16-23,16,12,0,28,0.571,0.571,
1,0.000,Cliff Sparrow,23-5,10,19,0,29,0.345,0.345,
1,0.000,Pig,16-23,21,16,0,37,0.568,0.568,
1,0.000,Pig,23-5,20,14,0,34,0.588,0.588,
1,0.000,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.000,Barn Owl,23-5,2,0,0,2,1.000,1.000,
1,0.000,Wild Pig,16-23,6,11,0,17,0.353,0.353,
1,0.000,Wild Pig,23-5,6,4,0,10,0.600,0.600,
1,0.000,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000,
1,0.000,Pennington Creek Water,23-5,0,465,0,465,0.000,0.000,
1,0.000,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.000,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.000,Racoon,16-23,2,0,0,2,1.000,1.000,
1,0.000,Racoon,23-5,0,3,0,3,0.000,0.000,
1,0.000,Hu,16-23,23,6,0,29,0.793,0.793,
1,0.000,Hu,23-5,24,7,0,31,0.774,0.774,
1,0.000,Cw and Dg,16-23,11,19,0,30,0.367,0.367,
1,0.000,Cw and Dg,23-5,19,11,0,30,0.633,0.633,
1,0.000,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.000,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
1,0.000,Tree Swallow,16-23,2,0,0,2,1.000,1.000,
1,0.000,Tree Swallow,23-5,2,0,0,2,1.000,1.000,
1,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.000,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
1,0.000,Dg,16-23,10,20,0,30,0.333,0.333,
1,0.000,Dg,23-5,28,2,0,30,0.933,0.933,
1,0.000,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.000,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
1,0.000,White Crowned Sparrow,16-23,13,2,0,15,0.867,0.867,
1,0.000,White Crowned Sparrow,23-5,8,7,0,15,0.533,0.533,
1,0.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.000,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.000,cougar,23-5,0,1,0,1,0.000,0.000,
1,0.000,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.000,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.000,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
1,0.000,Dog,16-23,100,38,0,138,0.725,0.725,
1,0.000,Dog,23-5,151,38,0,189,0.799,0.799,
1,0.000,Human,16-23,1729,147,0,1876,0.922,0.922,
1,0.000,Human,23-5,2173,154,0,2327,0.934,0.934,
1,0.000,Wild Turkey,16-23,18,28,0,46,0.391,0.391,
1,0.000,Wild Turkey,23-5,14,25,0,39,0.359,0.359,
1,0.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Clark Grebe,23-5,2,0,0,2,1.000,1.000,
