k,alpha,species,region,correctness
1,0.000,American Kestrel,BOTH,1.000
1,0.000,Barn Owl,BOTH,0.600
1,0.000,Bat,BOTH,0.973
1,0.000,Bear,BOTH,1.000
1,0.000,Bobcat,BOTH,0.500
1,0.000,Bond tail Pigeon,BOTH,1.000
1,0.000,California Sea Lion,BOTH,1.000
1,0.000,Cat,BOTH,0.923
1,0.000,Chicken,BOTH,0.950
1,0.000,Clark Grebe,BOTH,1.000
1,0.000,Cliff Sparrow,BOTH,0.857
1,0.000,Common Loon,BOTH,0.500
1,0.000,Common Murre,BOTH,0.500
1,0.000,Cow,BOTH,0.973
1,0.000,Coyote,BOTH,0.500
1,0.000,Crow,BOTH,1.000
1,0.000,Cw,BOTH,0.600
1,0.000,Cw and Dg,BOTH,0.667
1,0.000,Deer,BOTH,0.900
1,0.000,Deer Mouse,BOTH,0.000
1,0.000,Dg,BOTH,0.900
1,0.000,Dog,BOTH,0.926
1,0.000,Eared Grebe,BOTH,1.000
1,0.000,Elephant Seal,BOTH,1.000
1,0.000,Freshwater Lagoon,BOTH,NaN
1,0.000,Golden Eagle,BOTH,0.333
1,0.000,Great Horned Owl,BOTH,0.750
1,0.000,Grey Fox,BOTH,0.750
1,0.000,Ground Squirrel,BOTH,0.908
1,0.000,Guinni,BOTH,0.500
1,0.000,Horse,BOTH,0.902
1,0.000,Hu,BOTH,0.931
1,0.000,Hu Cw and Dg,BOTH,0.867
1,0.000,Hu and Cw,BOTH,0.700
1,0.000,Hu and Dg,BOTH,0.767
1,0.000,Human,BOTH,0.979
1,0.000,Human UTI,BOTH,0.965
1,0.000,Klebsiella,BOTH,NaN
1,0.000,Long-eared Owl,BOTH,1.000
1,0.000,Mallard Duck,BOTH,0.667
1,0.000,Mountain Lion,BOTH,0.875
1,0.000,Ocean Water,BOTH,NaN
1,0.000,Opossum,BOTH,1.000
1,0.000,Pacific Ocean Water,BOTH,NaN
1,0.000,Pelican,BOTH,0.625
1,0.000,Pennington Creek Water,BOTH,NaN
1,0.000,Pig,BOTH,0.647
1,0.000,Pig/Swine,BOTH,0.625
1,0.000,Pigeon,BOTH,0.778
1,0.000,Rabbit,BOTH,1.000
1,0.000,Racoon,BOTH,1.000
1,0.000,Red Shoulder Hawk,BOTH,0.500
1,0.000,Red Tailed Hawk,BOTH,0.800
1,0.000,Red Throated Loon,BOTH,1.000
1,0.000,Red Wind Blackbird,BOTH,0.500
1,0.000,Red-Winged Blackbird,BOTH,1.000
1,0.000,Red-shoulder Hawk,BOTH,0.500
1,0.000,SLO Creek Water,BOTH,NaN
1,0.000,Sea Lion,BOTH,1.000
1,0.000,Sea Otter,BOTH,1.000
1,0.000,Seagull,BOTH,0.818
1,0.000,Sheep,BOTH,0.915
1,0.000,Surf Scoter,BOTH,1.000
1,0.000,Tree Swallow,BOTH,1.000
1,0.000,Turkey Vulture,BOTH,1.000
1,0.000,Unknown Avian,BOTH,0.000
1,0.000,Western Kingbird,BOTH,0.000
1,0.000,White Crowned Sparrow,BOTH,0.933
1,0.000,Wild Pig,BOTH,0.750
1,0.000,Wild Turkey,BOTH,0.861
1,0.000,cougar,BOTH,1.000
1,0.000,orangutan,BOTH,0.000
1,0.000,unknown,BOTH,0.727
1,0.500,American Kestrel,BOTH,1.000
