k,alpha,species,region,correctness
1,0.000,American Kestrel,BOTH,0.667
1,0.000,Barn Owl,BOTH,0.200
1,0.000,Bat,BOTH,0.973
1,0.000,Bear,BOTH,0.833
1,0.000,Bobcat,BOTH,0.500
1,0.000,Bond tail Pigeon,BOTH,1.000
1,0.000,California Sea Lion,BOTH,0.833
1,0.000,Cat,BOTH,0.718
1,0.000,Chicken,BOTH,0.675
1,0.000,Clark Grebe,BOTH,1.000
1,0.000,Cliff Sparrow,BOTH,0.357
1,0.000,Common Loon,BOTH,0.000
1,0.000,Common Murre,BOTH,0.000
1,0.000,Cow,BOTH,0.863
1,0.000,Coyote,BOTH,0.500
1,0.000,Crow,BOTH,1.000
1,0.000,Cw,BOTH,0.433
1,0.000,Cw and Dg,BOTH,0.633
1,0.000,Deer,BOTH,0.850
1,0.000,Deer Mouse,BOTH,0.000
1,0.000,Dg,BOTH,0.900
1,0.000,Dog,BOTH,0.772
1,0.000,Eared Grebe,BOTH,1.000
1,0.000,Elephant Seal,BOTH,1.000
1,0.000,Freshwater Lagoon,BOTH,NaN
1,0.000,Golden Eagle,BOTH,0.333
1,0.000,Great Horned Owl,BOTH,0.500
1,0.000,Grey Fox,BOTH,0.500
1,0.000,Ground Squirrel,BOTH,0.694
1,0.000,Guinni,BOTH,0.000
1,0.000,Horse,BOTH,0.431
1,0.000,Hu,BOTH,0.793
1,0.000,Hu Cw and Dg,BOTH,0.500
1,0.000,Hu and Cw,BOTH,0.433
1,0.000,Hu and Dg,BOTH,0.633
1,0.000,Human,BOTH,0.939
1,0.000,Human UTI,BOTH,0.901
1,0.000,Klebsiella,BOTH,NaN
1,0.000,Long-eared Owl,BOTH,0.000
1,0.000,Mallard Duck,BOTH,0.000
1,0.000,Mountain Lion,BOTH,0.844
1,0.000,Ocean Water,BOTH,NaN
1,0.000,Opossum,BOTH,0.833
1,0.000,Pacific Ocean Water,BOTH,NaN
1,0.000,Pelican,BOTH,0.500
1,0.000,Pennington Creek Water,BOTH,NaN
1,0.000,Pig,BOTH,0.500
1,0.000,Pig/Swine,BOTH,0.375
1,0.000,Pigeon,BOTH,0.613
1,0.000,Rabbit,BOTH,1.000
1,0.000,Racoon,BOTH,0.000
1,0.000,Red Shoulder Hawk,BOTH,0.500
1,0.000,Red Tailed Hawk,BOTH,0.400
1,0.000,Red Throated Loon,BOTH,0.000
1,0.000,Red Wind Blackbird,BOTH,0.000
1,0.000,Red-Winged Blackbird,BOTH,1.000
1,0.000,Red-shoulder Hawk,BOTH,0.000
1,0.000,SLO Creek Water,BOTH,NaN
1,0.000,Sea Lion,BOTH,1.000
1,0.000,Sea Otter,BOTH,1.000
1,0.000,Seagull,BOTH,0.727
1,0.000,Sheep,BOTH,0.787
1,0.000,Surf Scoter,BOTH,1.000
1,0.000,Tree Swallow,BOTH,1.000
1,0.000,Turkey Vulture,BOTH,0.000
1,0.000,Unknown Avian,BOTH,0.000
1,0.000,Western Kingbird,BOTH,0.000
1,0.000,White Crowned Sparrow,BOTH,0.533
1,0.000,Wild Pig,BOTH,0.500
1,0.000,Wild Turkey,BOTH,0.736
1,0.000,cougar,BOTH,0.000
1,0.000,orangutan,BOTH,0.000
1,0.000,unknown,BOTH,0.727
1,0.500,American Kestrel,BOTH,0.667
1,0.500,Barn Owl,BOTH,0.200
1,0.500,Bat,BOTH,0.973
1,0.500,Bear,BOTH,0.833
1,0.500,Bobcat,BOTH,0.500
1,0.500,Bond tail Pigeon,BOTH,1.000
1,0.500,California Sea Lion,BOTH,0.833
1,0.500,Cat,BOTH,0.718
1,0.500,Chicken,BOTH,0.675
1,0.500,Clark Grebe,BOTH,1.000
1,0.500,Cliff Sparrow,BOTH,0.357
1,0.500,Common Loon,BOTH,0.000
1,0.500,Common Murre,BOTH,0.000
1,0.500,Cow,BOTH,0.863
1,0.500,Coyote,BOTH,0.500
1,0.500,Crow,BOTH,1.000
1,0.500,Cw,BOTH,0.433
1,0.500,Cw and Dg,BOTH,0.633
1,0.500,Deer,BOTH,0.850
1,0.500,Deer Mouse,BOTH,0.000
1,0.500,Dg,BOTH,0.900
1,0.500,Dog,BOTH,0.772
1,0.500,Eared Grebe,BOTH,1.000
1,0.500,Elephant Seal,BOTH,1.000
1,0.500,Freshwater Lagoon,BOTH,NaN
1,0.500,Golden Eagle,BOTH,0.333
1,0.500,Great Horned Owl,BOTH,0.500
1,0.500,Grey Fox,BOTH,0.500
1,0.500,Ground Squirrel,BOTH,0.694
1,0.500,Guinni,BOTH,0.000
1,0.500,Horse,BOTH,0.431
1,0.500,Hu,BOTH,0.793
1,0.500,Hu Cw and Dg,BOTH,0.500
1,0.500,Hu and Cw,BOTH,0.433
1,0.500,Hu and Dg,BOTH,0.633
1,0.500,Human,BOTH,0.939
1,0.500,Human UTI,BOTH,0.901
1,0.500,Klebsiella,BOTH,NaN
1,0.500,Long-eared Owl,BOTH,0.000
