k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%)
1,0.000,Cw and Dg,16-23,11,19,0,30,36.667,36.667
1,0.000,Cw and Dg,23-5,19,11,0,30,63.333,63.333
1,0.000,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.000,Sea Lion,23-5,4,0,0,4,100.000,100.000
1,0.000,Cliff Sparrow,16-23,16,12,0,28,57.143,57.143
1,0.000,Cliff Sparrow,23-5,12,17,0,29,41.379,41.379
1,0.000,Great Horned Owl,16-23,0,3,0,3,0.000,0.000
1,0.000,Great Horned Owl,23-5,1,7,0,8,12.500,12.500
1,0.000,unknown,16-23,6,5,0,11,54.545,54.545
1,0.000,unknown,23-5,8,3,0,11,72.727,72.727
1,0.000,White Crowned Sparrow,16-23,13,2,0,15,86.667,86.667
1,0.000,White Crowned Sparrow,23-5,8,7,0,15,53.333,53.333
1,0.000,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.000,Common Loon,23-5,0,4,0,4,0.000,0.000
1,0.000,Cw,16-23,17,13,0,30,56.667,56.667
1,0.000,Cw,23-5,21,10,0,31,67.742,67.742
1,0.000,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.000,Red Tailed Hawk,23-5,0,4,0,4,0.000,0.000
1,0.000,Horse,16-23,21,25,0,46,45.652,45.652
1,0.000,Horse,23-5,51,36,0,87,58.621,58.621
1,0.000,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.000,Seagull,23-5,78,14,0,92,84.783,84.783
1,0.000,Dog,16-23,100,42,0,142,70.423,70.423
1,0.000,Dog,23-5,163,50,0,213,76.526,76.526
1,0.000,Human,16-23,1940,138,0,2078,93.359,93.359
1,0.000,Human,23-5,2371,110,0,2481,95.566,95.566
1,0.000,Hu and Cw,16-23,17,13,0,30,56.667,56.667
1,0.000,Hu and Cw,23-5,14,16,0,30,46.667,46.667
1,0.000,Dg,16-23,10,20,0,30,33.333,33.333
1,0.000,Dg,23-5,28,2,0,30,93.333,93.333
1,0.000,Human UTI,16-23,115,24,0,139,82.734,82.734
1,0.000,Human UTI,23-5,129,12,0,141,91.489,91.489
1,0.000,Pig/Swine,16-23,15,12,0,27,55.556,55.556
1,0.000,Pig/Swine,23-5,13,12,0,25,52.000,52.000
