k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision-Made Accuracy,Overall Accuracy,
1,0.000,Chicken,16-23,22,18,0,40,0.550,0.550,
1,0.000,Chicken,23-5,68,14,0,82,0.829,0.829,
1,0.000,Sea Lion,16-23,1,1,0,2,0.500,0.500,
1,0.000,Sea Lion,23-5,6,0,0,6,1.000,1.000,
1,0.000,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
1,0.000,Hu and Cw,23-5,44,16,0,60,0.733,0.733,
1,0.000,Sheep,16-23,78,26,0,104,0.750,0.750,
1,0.000,Sheep,23-5,172,20,0,192,0.896,0.896,
1,0.000,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
1,0.000,Hu and Dg,23-5,50,10,0,60,0.833,0.833,
1,0.000,Common Loon,16-23,2,0,0,2,1.000,1.000,
1,0.000,Common Loon,23-5,2,2,0,4,0.500,0.500,
1,0.000,Red-Winged Blackbird,16-23,2,0,0,2,1.000,1.000,
1,0.000,Red-Winged Blackbird,23-5,4,0,0,4,1.000,1.000,
1,0.000,Cw,16-23,17,13,0,30,0.567,0.567,
1,0.000,Cw,23-5,50,10,0,60,0.833,0.833,
1,0.000,Cliff Sparrow,16-23,16,12,0,28,0.571,0.571,
1,0.000,Cliff Sparrow,23-5,37,19,0,56,0.661,0.661,
1,0.000,Pig,16-23,21,16,0,37,0.568,0.568,
1,0.000,Pig,23-5,54,14,0,68,0.794,0.794,
1,0.000,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.000,Barn Owl,23-5,2,0,0,2,1.000,1.000,
1,0.000,Wild Pig,16-23,6,11,0,17,0.353,0.353,
1,0.000,Wild Pig,23-5,14,4,0,18,0.778,0.778,
1,0.000,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000,
1,0.000,Pennington Creek Water,23-5,317,465,0,782,0.405,0.405,
1,0.000,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.000,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.000,Racoon,16-23,2,0,0,2,1.000,1.000,
1,0.000,Racoon,23-5,2,3,0,5,0.400,0.400,
1,0.000,Hu,16-23,23,6,0,29,0.793,0.793,
1,0.000,Hu,23-5,53,7,0,60,0.883,0.883,
1,0.000,Cw and Dg,16-23,11,19,0,30,0.367,0.367,
1,0.000,Cw and Dg,23-5,49,11,0,60,0.817,0.817,
1,0.000,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.000,Red Wind Blackbird,23-5,2,2,0,4,0.500,0.500,
1,0.000,Tree Swallow,16-23,2,0,0,2,1.000,1.000,
1,0.000,Tree Swallow,23-5,4,0,0,4,1.000,1.000,
1,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.000,Turkey Vulture,23-5,2,3,0,5,0.400,0.400,
1,0.000,Dg,16-23,10,20,0,30,0.333,0.333,
1,0.000,Dg,23-5,58,2,0,60,0.967,0.967,
1,0.000,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.000,Western Kingbird,23-5,2,2,0,4,0.500,0.500,
1,0.000,White Crowned Sparrow,16-23,13,2,0,15,0.867,0.867,
1,0.000,White Crowned Sparrow,23-5,23,7,0,30,0.767,0.767,
1,0.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Eared Grebe,23-5,2,2,0,4,0.500,0.500,
1,0.000,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.000,cougar,23-5,1,1,0,2,0.500,0.500,
1,0.000,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.000,Red Tailed Hawk,16-23,2,0,0,2,1.000,1.000,
1,0.000,Red Tailed Hawk,23-5,2,3,0,5,0.400,0.400,
