k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%),
1,0.000,Chicken,16-23,22,18,0,40,55.000,55.000,
1,0.000,Chicken,23-5,28,14,0,42,66.667,66.667,
1,0.000,Sea Lion,16-23,1,1,0,2,50.000,50.000,
1,0.000,Sea Lion,23-5,4,0,0,4,100.000,100.000,
1,0.000,Hu and Cw,16-23,17,13,0,30,56.667,56.667,
1,0.000,Hu and Cw,23-5,14,16,0,30,46.667,46.667,
1,0.000,Sheep,16-23,78,26,0,104,75.000,75.000,
1,0.000,Sheep,23-5,78,20,0,98,79.592,79.592,
1,0.000,Hu and Dg,16-23,19,13,0,32,59.375,59.375,
1,0.000,Hu and Dg,23-5,20,10,0,30,66.667,66.667,
1,0.000,Common Loon,16-23,2,0,0,2,100.000,100.000,
1,0.000,Common Loon,23-5,0,2,0,2,0.000,0.000,
1,0.000,Red-Winged Blackbird,16-23,2,0,0,2,100.000,100.000,
1,0.000,Red-Winged Blackbird,23-5,2,0,0,2,100.000,100.000,
1,0.000,Cw,16-23,17,13,0,30,56.667,56.667,
1,0.000,Cw,23-5,20,10,0,30,66.667,66.667,
1,0.000,Cliff Sparrow,16-23,16,12,0,28,57.143,57.143,
1,0.000,Cliff Sparrow,23-5,10,19,0,29,34.483,34.483,
1,0.000,Pig,16-23,21,16,0,37,56.757,56.757,
1,0.000,Pig,23-5,20,14,0,34,58.824,58.824,
1,0.000,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.000,Barn Owl,23-5,2,0,0,2,100.000,100.000,
1,0.000,Wild Pig,16-23,6,11,0,17,35.294,35.294,
1,0.000,Wild Pig,23-5,6,4,0,10,60.000,60.000,
1,0.000,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000,
1,0.000,Pennington Creek Water,23-5,0,465,0,465,0.000,0.000,
1,0.000,Guinni,16-23,0,0,0,0,NaN,NaN,
1,0.000,Guinni,23-5,0,2,0,2,0.000,0.000,
1,0.000,Racoon,16-23,2,0,0,2,100.000,100.000,
1,0.000,Racoon,23-5,0,3,0,3,0.000,0.000,
1,0.000,Hu,16-23,23,6,0,29,79.310,79.310,
1,0.000,Hu,23-5,24,7,0,31,77.419,77.419,
1,0.000,Cw and Dg,16-23,11,19,0,30,36.667,36.667,
1,0.000,Cw and Dg,23-5,19,11,0,30,63.333,63.333,
1,0.000,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
1,0.000,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
1,0.000,Tree Swallow,16-23,2,0,0,2,100.000,100.000,
1,0.000,Tree Swallow,23-5,2,0,0,2,100.000,100.000,
1,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
1,0.000,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
1,0.000,Dg,16-23,10,20,0,30,33.333,33.333,
1,0.000,Dg,23-5,28,2,0,30,93.333,93.333,
1,0.000,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
1,0.000,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
1,0.000,White Crowned Sparrow,16-23,13,2,0,15,86.667,86.667,
1,0.000,White Crowned Sparrow,23-5,8,7,0,15,53.333,53.333,
1,0.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Eared Grebe,23-5,2,2,0,4,50.000,50.000,
1,0.000,cougar,16-23,0,1,0,1,0.000,0.000,
1,0.000,cougar,23-5,0,1,0,1,0.000,0.000,
1,0.000,Ocean Water,16-23,0,0,0,0,NaN,NaN,
1,0.000,Ocean Water,23-5,0,10,0,10,0.000,0.000,
1,0.000,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000,
1,0.000,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
1,0.000,Dog,16-23,100,38,0,138,72.464,72.464,
1,0.000,Dog,23-5,151,38,0,189,79.894,79.894,
1,0.000,Human,16-23,1729,147,0,1876,92.164,92.164,
1,0.000,Human,23-5,2173,154,0,2327,93.382,93.382,
1,0.000,Wild Turkey,16-23,18,28,0,46,39.130,39.130,
1,0.000,Wild Turkey,23-5,14,25,0,39,35.897,35.897,
1,0.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
1,0.000,Clark Grebe,23-5,2,0,0,2,100.000,100.000,
1,0.000,Seagull,16-23,0,0,0,0,NaN,NaN,
1,0.000,Seagull,23-5,33,34,0,67,49.254,49.254,
1,0.000,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
1,0.000,Surf Scoter,23-5,2,0,0,2,100.000,100.000,
1,0.000,Pigeon,16-23,132,108,0,240,55.000,55.000,
1,0.000,Pigeon,23-5,150,141,0,291,51.546,51.546,
1,0.000,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
1,0.000,Pacific Ocean Water,23-5,0,50,0,50,0.000,0.000,
1,0.000,Cat,16-23,41,12,0,53,77.358,77.358,
1,0.000,Cat,23-5,39,24,0,63,61.905,61.905,
1,0.000,Horse,16-23,21,25,0,46,45.652,45.652,
1,0.000,Horse,23-5,51,36,0,87,58.621,58.621,
1,0.000,orangutan,16-23,0,1,0,1,0.000,0.000,
1,0.000,orangutan,23-5,0,1,0,1,0.000,0.000,
1,0.000,Bat,16-23,36,1,0,37,97.297,97.297,
1,0.000,Bat,23-5,37,1,0,38,97.368,97.368,
1,0.000,Deer,16-23,17,4,0,21,80.952,80.952,
1,0.000,Deer,23-5,18,4,0,22,81.818,81.818,
1,0.000,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
1,0.000,Great Horned Owl,23-5,1,6,0,7,14.286,14.286,
1,0.000,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
1,0.000,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
1,0.000,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
1,0.000,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
1,0.000,Human UTI,16-23,115,24,0,139,82.734,82.734,
1,0.000,Human UTI,23-5,129,12,0,141,91.489,91.489,
1,0.000,unknown,16-23,6,5,0,11,54.545,54.545,
1,0.000,unknown,23-5,8,3,0,11,72.727,72.727,
1,0.000,SLO Creek Water,16-23,0,876,0,876,0.000,0.000,
1,0.000,SLO Creek Water,23-5,6,1326,0,1332,0.450,0.450,
1,0.000,Pig/Swine,16-23,15,11,0,26,57.692,57.692,
1,0.000,Pig/Swine,23-5,13,12,0,25,52.000,52.000,
1,0.000,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.000,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.000,Hu Cw and Dg,16-23,10,20,0,30,33.333,33.333,
