k,alpha,isoId,classification
1,0.000,PH-6,null
2,0.000,PH-6,Cow
3,0.000,PH-6,Cow
4,0.000,PH-6,Cow
5,0.000,PH-6,Cow
6,0.000,PH-6,Cow
7,0.000,PH-6,Cow
8,0.000,PH-6,Cow
1,0.500,PH-6,null
2,0.500,PH-6,Cow
3,0.500,PH-6,Cow
4,0.500,PH-6,Cow
5,0.500,PH-6,Cow
6,0.500,PH-6,Cow
7,0.500,PH-6,Cow
8,0.500,PH-6,Cow
1,0.900,PH-6,null
2,0.900,PH-6,null
3,0.900,PH-6,null
4,0.900,PH-6,null
5,0.900,PH-6,null
6,0.900,PH-6,null
7,0.900,PH-6,null
8,0.900,PH-6,null
1,0.950,PH-6,null
2,0.950,PH-6,null
3,0.950,PH-6,null
4,0.950,PH-6,null
5,0.950,PH-6,null
6,0.950,PH-6,null
7,0.950,PH-6,null
8,0.950,PH-6,null
1,0.980,PH-6,null
2,0.980,PH-6,null
3,0.980,PH-6,null
4,0.980,PH-6,null
5,0.980,PH-6,null
6,0.980,PH-6,null
7,0.980,PH-6,null
8,0.980,PH-6,null
1,0.990,PH-6,null
2,0.990,PH-6,null
3,0.990,PH-6,null
4,0.990,PH-6,null
5,0.990,PH-6,null
6,0.990,PH-6,null
7,0.990,PH-6,null
8,0.990,PH-6,null
1,0.000,PH-5,null
2,0.000,PH-5,Horse
3,0.000,PH-5,Horse
4,0.000,PH-5,Horse
5,0.000,PH-5,Horse
6,0.000,PH-5,Cow
7,0.000,PH-5,Opossum
8,0.000,PH-5,Cow
1,0.500,PH-5,null
2,0.500,PH-5,Horse
3,0.500,PH-5,Horse
4,0.500,PH-5,Horse
5,0.500,PH-5,Horse
6,0.500,PH-5,Cow
7,0.500,PH-5,Opossum
8,0.500,PH-5,Cow
1,0.900,PH-5,null
2,0.900,PH-5,null
3,0.900,PH-5,null
4,0.900,PH-5,null
5,0.900,PH-5,null
6,0.900,PH-5,null
7,0.900,PH-5,null
8,0.900,PH-5,null
1,0.950,PH-5,null
2,0.950,PH-5,null
3,0.950,PH-5,null
4,0.950,PH-5,null
5,0.950,PH-5,null
6,0.950,PH-5,null
7,0.950,PH-5,null
8,0.950,PH-5,null
1,0.980,PH-5,null
2,0.980,PH-5,null
3,0.980,PH-5,null
4,0.980,PH-5,null
5,0.980,PH-5,null
6,0.980,PH-5,null
7,0.980,PH-5,null
8,0.980,PH-5,null
1,0.990,PH-5,null
2,0.990,PH-5,null
3,0.990,PH-5,null
4,0.990,PH-5,null
5,0.990,PH-5,null
6,0.990,PH-5,null
7,0.990,PH-5,null
8,0.990,PH-5,null
1,0.000,PH-019,null
2,0.000,PH-019,Cow
3,0.000,PH-019,Cow
4,0.000,PH-019,Cow
5,0.000,PH-019,Cow
6,0.000,PH-019,Cow
7,0.000,PH-019,Cow
8,0.000,PH-019,Cow
1,0.500,PH-019,null
2,0.500,PH-019,Cow
3,0.500,PH-019,Cow
4,0.500,PH-019,Cow
