k,alpha,unknownId,classification,pearson,isoId,species
5,0.980,PH-5,Cow(3)(2.666667),0.995,Cw-1467,Cow
5,0.980,PH-5,Cow(3)(2.666667),0.990,Ts-001,unknown
5,0.980,PH-5,Cow(3)(2.666667),0.995,Hu-2060,Human
5,0.980,PH-5,Cow(3)(2.666667),0.989,Ts-009,unknown
5,0.980,PH-5,Cow(3)(2.666667),0.994,Pp-018,Dg
5,0.980,PH-5,Cow(3)(2.666667),0.988,Cw-1813,Cow
5,0.980,PH-5,Cow(3)(2.666667),0.994,Hu-2058,Human
5,0.980,PH-5,Cow(3)(2.666667),0.988,Cw-1663,Cow
5,0.980,PH-5,Cow(3)(2.666667),0.994,Pp-073,Cw and Dg
5,0.980,PH-5,Cow(3)(2.666667),0.988,Rt-068,Ground Squirrel
